latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-7.57488,26.57524,304.71,4.64,1.97,2025-08-01,18,Aqua,MODIS,61,6.1NRT,287.39,65.06,N
-7.55761,26.57797,302.1,4.64,1.97,2025-08-01,18,Aqua,MODIS,27,6.1NRT,287.45,51.52,N
-7.45778,26.44353,301.69,4.79,2,2025-08-01,18,Aqua,MODIS,43,6.1NRT,288.69,57.86,N
-8.29756,32.14848,307.8,1.63,1.26,2025-08-01,18,Aqua,MODIS,73,6.1NRT,288.31,19.42,N
-8.29523,32.13416,323.43,1.63,1.26,2025-08-01,18,Aqua,MODIS,100,6.1NRT,288.18,46.91,N
-7.9471,34.40513,303.48,1.17,1.08,2025-08-01,18,Aqua,MODIS,55,6.1NRT,284.61,10.11,N
-11.76522,37.73351,300.85,1.08,1.04,2025-08-01,18,Aqua,MODIS,34,6.1NRT,289.22,5.24,N
-11.76662,37.74316,318.13,1.08,1.04,2025-08-01,18,Aqua,MODIS,96,6.1NRT,289.48,18.84,N
-11.93004,37.72656,336.26,1.09,1.04,2025-08-01,18,Aqua,MODIS,100,6.1NRT,291.97,42.26,N
-11.93779,37.71554,303.13,1.08,1.04,2025-08-01,18,Aqua,MODIS,53,6.1NRT,291.39,5.82,N
-19.63572,32.82589,316.13,1.05,1.02,2025-08-01,20,Aqua,MODIS,93,6.1NRT,279.01,20.04,N
-23.80688,31.03366,308.17,1.12,1.05,2025-08-01,20,Aqua,MODIS,74,6.1NRT,280.38,14.06,N
-14.44077,25.79604,301.75,3.87,1.83,2025-08-01,20,Aqua,MODIS,44,6.1NRT,281.12,53.29,N
-14.44691,25.78705,302.52,3.87,1.83,2025-08-01,20,Aqua,MODIS,50,6.1NRT,280.87,58.46,N
-25.56536,31.47941,308.54,1.04,1.02,2025-08-01,20,Aqua,MODIS,75,6.1NRT,285.52,11.95,N
-24.07607,30.02352,352.73,1.24,1.11,2025-08-01,20,Aqua,MODIS,100,6.1NRT,286.87,96.88,N
-25.42475,30.61816,314.64,1.11,1.05,2025-08-01,20,Aqua,MODIS,90,6.1NRT,282.6,19.13,N
-24.06432,30.01339,307.92,1.24,1.11,2025-08-01,20,Aqua,MODIS,73,6.1NRT,281.2,15.93,N
-24.07414,30.01215,342.51,1.24,1.11,2025-08-01,20,Aqua,MODIS,100,6.1NRT,284.47,68.9,N
-24.06623,30.02452,309.01,1.24,1.11,2025-08-01,20,Aqua,MODIS,76,6.1NRT,282.46,16.94,N
-25.42296,30.60745,315.57,1.12,1.05,2025-08-01,20,Aqua,MODIS,91,6.1NRT,281.13,19.91,N
-27.66236,31.05424,319.36,1.03,1.02,2025-08-01,22,Aqua,MODIS,98,6.1NRT,281.76,20.57,N
-29.05287,29.91488,300.77,1.09,1.04,2025-08-01,22,Aqua,MODIS,33,6.1NRT,280.58,8.89,N
-28.86321,29.83113,301.36,1.1,1.05,2025-08-01,22,Aqua,MODIS,40,6.1NRT,280.52,9.08,N
-27.31432,31.25157,302.28,1.03,1.01,2025-08-01,22,Aqua,MODIS,48,6.1NRT,282.85,8.06,N
-28.53448,29.38083,317.06,1.16,1.07,2025-08-01,22,Aqua,MODIS,94,6.1NRT,281.99,22.09,N
-27.0034,31.26924,310.57,1.03,1.01,2025-08-01,22,Aqua,MODIS,80,6.1NRT,283.39,13.17,N
-27.64444,31.05739,310.02,1.03,1.02,2025-08-01,22,Aqua,MODIS,22,6.1NRT,284.27,12.19,N
-26.8354,32.1557,323.49,1,1,2025-08-01,22,Aqua,MODIS,100,6.1NRT,287.34,23.35,N
-28.52004,30.45522,316.85,1.06,1.03,2025-08-01,22,Aqua,MODIS,94,6.1NRT,280.58,20.48,N
-26.76435,32.04766,300.74,1,1,2025-08-01,22,Aqua,MODIS,33,6.1NRT,284.84,5.87,N
-26.18728,31.37863,303.63,1.04,1.02,2025-08-01,22,Aqua,MODIS,56,6.1NRT,287.25,7.78,N
-28.51836,30.44479,304.46,1.06,1.03,2025-08-01,22,Aqua,MODIS,60,6.1NRT,279.72,10.81,N
-25.43229,30.6061,332.76,1.12,1.05,2025-08-01,22,Aqua,MODIS,100,6.1NRT,283.19,42.27,N
-27.65502,31.06602,303.61,1.03,1.02,2025-08-01,22,Aqua,MODIS,51,6.1NRT,280.75,8.7,N
-27.76142,31.09137,305.57,1.03,1.01,2025-08-01,22,Aqua,MODIS,65,6.1NRT,281.09,10.44,N
-27.75981,31.08119,308.77,1.03,1.01,2025-08-01,22,Aqua,MODIS,75,6.1NRT,282.53,12.63,N
-27.66394,31.06417,302.87,1.03,1.02,2025-08-01,22,Aqua,MODIS,5,6.1NRT,280.38,7.93,N
-26.8369,32.16553,301.18,1,1,2025-08-01,22,Aqua,MODIS,38,6.1NRT,285.44,6.25,N
-26.84423,32.15405,302.25,1,1,2025-08-01,22,Aqua,MODIS,48,6.1NRT,286.19,6.54,N
-27.8756,30.9931,302.88,1.03,1.02,2025-08-01,22,Aqua,MODIS,52,6.1NRT,282.01,9,N
-27.63135,30.97535,307.91,1.04,1.02,2025-08-01,22,Aqua,MODIS,73,6.1NRT,278.3,13.07,N
-27.62971,30.96507,300.18,1.04,1.02,2025-08-01,22,Aqua,MODIS,20,6.1NRT,277.9,8.38,N
-27.00181,31.25927,309.1,1.03,1.01,2025-08-01,22,Aqua,MODIS,76,6.1NRT,282.62,12.12,N
-28.30379,30.2106,303.36,1.08,1.04,2025-08-01,22,Aqua,MODIS,55,6.1NRT,280.83,10.09,N
-27.71015,31.53282,319.6,1.01,1.01,2025-08-01,22,Aqua,MODIS,99,6.1NRT,285.38,20.56,N
-27.70859,31.52281,324.69,1.01,1.01,2025-08-01,22,Aqua,MODIS,100,6.1NRT,285.03,25.82,N
-27.7268,32.24197,311.38,1,1,2025-08-01,22,Aqua,MODIS,82,6.1NRT,286.68,12.17,N
-15.6897,-43.20836,308.27,1.05,1.02,2025-08-01,24,Terra,MODIS,74,6.1NRT,291.44,9.07,N
-21.09763,-42.76139,302.23,1.01,1,2025-08-01,24,Terra,MODIS,48,6.1NRT,286.13,6.97,N
-20.23142,-40.24261,303.57,1.28,1.12,2025-08-01,24,Terra,MODIS,56,6.1NRT,289.88,9.12,N
-21.24167,-48.5641,304.77,1.7,1.28,2025-08-01,24,Terra,MODIS,62,6.1NRT,285.6,17.35,N
-20.70032,-44.27657,308.45,1.02,1.01,2025-08-01,24,Terra,MODIS,75,6.1NRT,282.82,11.82,N
-20.7016,-44.28616,306.04,1.02,1.01,2025-08-01,24,Terra,MODIS,67,6.1NRT,282.69,10.25,N
-21.17086,-48.6451,307.42,1.72,1.29,2025-08-01,24,Terra,MODIS,71,6.1NRT,285.56,23.1,N
-20.5347,-46.10288,302.13,1.17,1.08,2025-08-01,24,Terra,MODIS,47,6.1NRT,285.35,9.1,N
-20.44445,-46.42819,308.13,1.21,1.1,2025-08-01,24,Terra,MODIS,74,6.1NRT,285.3,13.82,N
-20.35146,-45.99049,316.1,1.15,1.07,2025-08-01,24,Terra,MODIS,93,6.1NRT,283.4,21.62,N
-19.4819,-42.54322,302.36,1.04,1.02,2025-08-01,24,Terra,MODIS,49,6.1NRT,290.22,6.07,N
-20.01095,-47.38567,311.75,1.36,1.16,2025-08-01,24,Terra,MODIS,83,6.1NRT,290.31,18.67,N
-19.52564,-45.33547,313.39,1.07,1.03,2025-08-01,24,Terra,MODIS,87,6.1NRT,289.49,14.97,N
-19.70748,-46.80292,301.62,1.25,1.11,2025-08-01,24,Terra,MODIS,43,6.1NRT,286.72,7.95,N
-19.70533,-46.79767,307.92,1.25,1.11,2025-08-01,24,Terra,MODIS,73,6.1NRT,286.66,13.48,N
